Connecting to host server, port 5201
[  5] local 10.1.3.2 port 58844 connected to 10.1.9.2 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]   0.00-1.00   sec  2.59 MBytes  21.7 Mbits/sec    0    288 KBytes       
[  5]   1.00-2.00   sec  1.43 MBytes  12.0 Mbits/sec    0    346 KBytes       
[  5]   2.00-3.00   sec  1.49 MBytes  12.5 Mbits/sec    0    404 KBytes       
[  5]   3.00-4.00   sec  1.43 MBytes  12.0 Mbits/sec    0    464 KBytes       
[  5]   4.00-5.00   sec  1.49 MBytes  12.5 Mbits/sec    0    522 KBytes       
[  5]   5.00-6.00   sec  1.43 MBytes  12.0 Mbits/sec    0    580 KBytes       
[  5]   6.00-7.00   sec  1.43 MBytes  12.0 Mbits/sec    0    639 KBytes       
[  5]   7.00-8.00   sec  1.37 MBytes  11.5 Mbits/sec    0    697 KBytes       
[  5]   8.00-9.00   sec  1.18 MBytes  9.89 Mbits/sec   17    503 KBytes       
[  5]   9.00-10.00  sec  1.12 MBytes  9.38 Mbits/sec    0    560 KBytes       
[  5]  10.00-11.00  sec  1.18 MBytes  9.90 Mbits/sec    0    614 KBytes       
[  5]  11.00-12.00  sec  1.12 MBytes  9.38 Mbits/sec    0    652 KBytes       
[  5]  12.00-13.00  sec   636 KBytes  5.21 Mbits/sec   13    518 KBytes       
[  5]  13.00-14.00  sec  1.68 MBytes  14.1 Mbits/sec    0    494 KBytes       
[  5]  14.00-15.00  sec  1.12 MBytes  9.38 Mbits/sec    0    526 KBytes       
[  5]  15.00-16.00  sec  1.12 MBytes  9.38 Mbits/sec    0    549 KBytes       
[  5]  16.00-17.00  sec  1.18 MBytes  9.90 Mbits/sec    0    563 KBytes       
[  5]  17.00-18.00  sec  1.12 MBytes  9.38 Mbits/sec    0    567 KBytes       
[  5]  18.00-19.00  sec  1.12 MBytes  9.38 Mbits/sec    0    568 KBytes       
[  5]  19.00-20.00  sec  1.18 MBytes  9.90 Mbits/sec    0    568 KBytes       
[  5]  20.00-21.00  sec  1.12 MBytes  9.38 Mbits/sec    0    573 KBytes       
[  5]  21.00-22.00  sec  1.12 MBytes  9.38 Mbits/sec    0    581 KBytes       
[  5]  22.00-23.00  sec  1.18 MBytes  9.90 Mbits/sec    0    600 KBytes       
[  5]  23.00-24.00  sec  1.12 MBytes  9.38 Mbits/sec    0    629 KBytes       
[  5]  24.00-25.00  sec  1.06 MBytes  8.86 Mbits/sec   81    454 KBytes       
[  5]  25.00-26.00  sec  1.12 MBytes  9.38 Mbits/sec    0    509 KBytes       
[  5]  26.00-27.00  sec  1.12 MBytes  9.38 Mbits/sec    0    559 KBytes       
[  5]  27.00-28.00  sec  1.12 MBytes  9.38 Mbits/sec    0    592 KBytes       
[  5]  28.00-29.00  sec  1.18 MBytes  9.90 Mbits/sec    0    615 KBytes       
[  5]  29.00-30.00  sec  1.12 MBytes  9.38 Mbits/sec    0    628 KBytes       
[  5]  30.00-31.00  sec  1.12 MBytes  9.38 Mbits/sec    0    632 KBytes       
[  5]  31.00-32.00  sec  1.18 MBytes  9.90 Mbits/sec    0    634 KBytes       
[  5]  32.00-33.00  sec  1.12 MBytes  9.38 Mbits/sec    0    634 KBytes       
[  5]  33.00-34.00  sec  1.12 MBytes  9.38 Mbits/sec    0    638 KBytes       
[  5]  34.00-35.00  sec  1.18 MBytes  9.90 Mbits/sec    0    648 KBytes       
[  5]  35.00-36.00  sec  1.12 MBytes  9.38 Mbits/sec    0    666 KBytes       
[  5]  36.00-37.00  sec  1.12 MBytes  9.38 Mbits/sec   37    481 KBytes       
[  5]  37.00-38.00  sec  1.12 MBytes  9.38 Mbits/sec   16    356 KBytes       
[  5]  38.00-39.00  sec  1.24 MBytes  10.4 Mbits/sec    0    385 KBytes       
[  5]  39.00-40.00  sec  1.12 MBytes  9.38 Mbits/sec    0    407 KBytes       
[  5]  40.00-41.00  sec  1.12 MBytes  9.38 Mbits/sec    0    420 KBytes       
[  5]  41.00-42.00  sec  1.12 MBytes  9.38 Mbits/sec    0    427 KBytes       
[  5]  42.00-43.00  sec  1.06 MBytes  8.86 Mbits/sec  119    315 KBytes       
[  5]  43.00-44.00  sec  1.12 MBytes  9.38 Mbits/sec    0    361 KBytes       
[  5]  44.00-45.00  sec  1.12 MBytes  9.38 Mbits/sec    0    393 KBytes       
[  5]  45.00-46.00  sec  1.12 MBytes  9.38 Mbits/sec    0    413 KBytes       
[  5]  46.00-47.00  sec  1.12 MBytes  9.38 Mbits/sec    0    423 KBytes       
[  5]  47.00-48.00  sec  1.18 MBytes  9.90 Mbits/sec    0    427 KBytes       
[  5]  48.00-49.00  sec  1.12 MBytes  9.38 Mbits/sec    0    427 KBytes       
[  5]  49.00-50.00  sec  1.12 MBytes  9.38 Mbits/sec    0    428 KBytes       
[  5]  50.00-51.00  sec  1.18 MBytes  9.90 Mbits/sec    0    433 KBytes       
[  5]  51.00-52.00  sec  1.12 MBytes  9.38 Mbits/sec    0    444 KBytes       
[  5]  52.00-53.00  sec  1.12 MBytes  9.38 Mbits/sec    0    464 KBytes       
[  5]  53.00-54.00  sec  1018 KBytes  8.34 Mbits/sec   10    440 KBytes       
[  5]  54.00-55.00  sec  1.25 MBytes  10.5 Mbits/sec   53    252 KBytes       
[  5]  55.00-56.00  sec  1.17 MBytes  9.84 Mbits/sec    0    274 KBytes       
[  5]  56.00-57.00  sec  1.12 MBytes  9.38 Mbits/sec    0    291 KBytes       
[  5]  57.00-58.00  sec  1.18 MBytes  9.90 Mbits/sec    0    298 KBytes       
